economy,time,BX.KLT.DINV.CD.WD,FP.CPI.TOTL.ZG,FR.INR.RINR,NE.CON.GOVT.CD,NE.CON.TOTL.CD,NE.EXP.GNFS.CD,NY.GDP.MKTP.CD,SL.UEM.TOTL.ZS,AG.LND.AGRI.ZS,NE.GDI.TOTL.CD,NE.IMP.GNFS.CD,SL.TLF.CACT.ZS
AGO,YR2009,2205298180.0,13.7302839288409,38.9777135532961,13990132134.6003,43668254164.3451,41310593206.4512,70307166934.3311,3.77999997138977,41.6755747172536,30106128715.8917,44777809152.3569,77.2600021362305
AGO,YR2010,-3227211182.45,14.4696564932576,-6.94413460977478,13923515933.2966,43170110748.0799,50280434505.8769,81699526880.8079,9.43000030517578,42.1207989091201,23037075147.4519,34788093520.6008,77.2600021362305
AGO,YR2011,-3023770965.83688,13.4824679218512,-9.87814512128374,19956698271.8911,57145868983.8736,66395107686.3433,109436566876.419,7.3600001335144,42.5660239031042,28917904925.8712,43022314719.6695,77.3199996948242
AGO,YR2012,-1464627990.88284,10.2779049218839,8.76259485211296,22302972362.2458,66564370507.459,69924162329.6285,124998210652.243,8.06400012969971,43.0112488970883,33333994539.9331,44824316724.7779,77.3330001831055
AGO,YR2013,-7120017424.4614,8.77781429332618,12.6058526338601,28844021801.2191,78940107307.6142,67697415578.9142,133401582620.494,8.83399963378906,43.4564738910724,34875136358.7192,48111076624.7539,77.3349990844727
AGO,YR2014,3657514667.49327,7.28038730361125,12.3777859689274,24670591898.8191,85698728052.3151,61341442498.8622,137244439121.374,9.57999992370605,43.9016988850565,37742850983.3042,47538582413.1075,77.3280029296875
AGO,YR2015,10028215162.6394,9.35383972513758,21.139895235142,14332601831.8797,60335546594.1417,25951752164.8067,87219300384.5072,9.58399963378906,44.3469238790407,29831173215.7929,28899171590.2341,77.3109970092773
AGO,YR2016,-179517618.92,30.6989578589225,-4.92195464321266,6918201623.4875,34841731952.9012,14017381688.2126,49840491178.1518,9.58600044250488,44.7921552899655,13563944772.2727,12582567235.2346,77.2979965209961
AGO,YR2017,-7397295409.18991,29.8425777887099,-5.55533416421707,8922192826.82784,48362545290.1634,20004932389.8365,68972769395.6274,9.53499984741211,45.2373706585385,16643340218.4821,16038048502.8546,77.2730026245117
AGO,YR2018,-6456076413.12033,19.6305943641961,-5.84395604159954,8148455857.64489,51993702557.0727,31767752271.8422,77792944471.9494,9.52200031280518,45.6825940482875,13901148419.7352,19869658776.7006,77.2379989624023
AGO,YR2019,-4098478747.63755,17.0797044074954,0.0932099035319251,5959790773.08386,40570623224.7361,28271709349.1708,69309110145.7687,9.48099994659424,45.6825940482875,12276206493.8953,11809428922.0335,77.193000793457
AGO,YR2020,-1866468113.07454,22.2715643068877,1.26444213838652,4655884317.70474,32726802239.3217,19110949393.407,53619073505.1377,10.3500003814697,45.6825940482875,10491940247.0029,8710618374.59391,76.4589996337891
AGO,YR2021,-4355116552.71589,25.7542656453085,-10.6388168103798,5350749488.44803,34330797498.3205,29843731084.8329,67404287260.3199,10.3839998245239,,14147466271.6677,10917707594.4868,76.5009994506836
ALB,YR2000,143000000.0,0.0500181363468233,15.5754116055596,337331814.899172,3216796289.09505,700083398.144547,3480355258.04122,19.0279998779297,41.7518248175182,1071819204.48864,1508343772.56819,60.5309982299805
ALB,YR2001,207300000.0,3.10758827031435,15.2617073910542,416760684.950578,3484217875.53947,836717875.539468,3922100793.5403,18.5750007629395,41.5693430656934,1372290895.16915,1771127105.66616,59.9210014343262
ALB,YR2002,135000000.0,7.77052583431551,11.2464777871879,492859483.01281,3972822134.12836,910729684.956035,4348068242.19512,17.8950004577637,41.6058394160584,1533305461.74018,2068787044.40985,59.6100006103516
ALB,YR2003,178036400.666667,0.484002611818484,8.62387425855812,622787590.652833,5130526831.74818,1169850310.53175,5611496257.14231,16.9890003204346,40.9124087591241,1902121187.28198,2591005963.89867,58.556999206543
ALB,YR2004,341285112.537562,2.28001916938099,8.34605448112112,805106330.34189,6352358416.1386,1596261928.9261,7184685781.51876,16.3099994659424,40.9489051094891,2456928760.52151,3220867804.41529,57.4949989318848
ALB,YR2005,262479012.637464,2.36658195679796,9.4555054819425,888245754.743903,7083949882.99825,1853022970.79312,8052073539.38058,15.9700002670288,39.3065693430657,2968773399.09863,3853670510.65232,56.4269981384277
ALB,YR2006,325138316.803697,2.37072831904283,10.2087615799994,936515452.063843,7841920871.24401,2242665086.02148,8896072918.9814,15.6300001144409,40.8759124087591,3175677295.58812,4364189416.47282,55.3530006408691
ALB,YR2007,652275603.722803,2.93268248162319,9.30474143806301,1118710154.71995,9849228611.966,3016116154.41694,10677324144.4289,15.9700002670288,40.8394160583942,3679616246.7557,5867639633.34325,54.2729988098145
ALB,YR2008,1247181714.30558,3.32087090389268,8.55052487389148,1336950053.99632,12040547663.3776,3259293923.566,12881353507.8539,13.0600004196167,43.1021897810219,4608745258.93204,6717539984.69508,53.189998626709
ALB,YR2009,1345415233.65619,2.2669220945083,10.0007474139424,1338043401.58415,11072100831.6654,3040048284.81513,12044208085.864,13.6700000762939,43.8430656934307,4162218869.40253,6004539467.51935,54.9900016784668
ALB,YR2010,1089898207.57431,3.62604695579817,7.97103659621924,1330729761.47982,10646770101.4175,3337085649.24613,11926922828.9911,14.0900001525879,43.8430656934307,3614891660.01999,5792185435.94322,55.2000007629395
ALB,YR2011,1048706682.05458,3.42912324722164,9.88846223555399,1414653830.98206,11508049492.6449,3769457697.94184,12890764531.3284,13.4799995422363,43.8321167883212,4049450819.5584,6700236778.93431,59.939998626709
ALB,YR2012,917994575.801857,2.03159268395298,9.73611207346728,1336062937.10172,10941450415.1253,3565049424.96224,12319830437.3467,13.3800001144409,43.8430656934307,3490029320.36286,5860877558.83022,56.9900016784668
ALB,YR2013,1254150555.51294,1.93762080205227,9.51039749125922,1408641401.65725,11633370651.0506,3694412184.43974,12776220507.0162,15.8699998855591,43.3321167883212,3584048805.13906,5999380803.48862,52.4199981689453
ALB,YR2014,1149927985.77736,1.62586504402607,6.32455753333484,1514870022.75313,12201540481.6079,3732057451.6496,13228147516.1168,18.0499992370605,42.857299270073,3396286215.39628,6243003602.57869,53.4199981689453
ALB,YR2015,989578334.828615,3.50120835492656,7.27249242163997,1265151391.25623,10453742764.6658,3104896964.71229,11386850129.8411,17.1900005340576,42.8576642335766,2939976357.89292,5070976018.90098,55.5
ALB,YR2016,1044389554.85795,-0.367317209784628,7.41372325944537,1336675997.34176,10939629296.9773,3437126527.98196,11861199830.8396,15.4200000762939,43.1277372262774,2991848400.02417,5436220794.65131,57.310001373291
ALB,YR2017,1022757857.07377,2.0605984592022,4.70072680745347,1497056087.32158,11861777665.827,4110290931.98992,13019689336.6919,13.6199998855591,42.8569708029197,3261763643.99664,6070360621.32662,58.060001373291
